st_x	st_y	presence
-44.6727011931	-23.0029826555	1
-54.6776723296	-25.0639573426	1
-56.2197766458	-25.8472969685	1
-54.6148186954	-25.364294477	1
-53.9115191325	-24.916988153	1
-39.1264597263	-15.1746694679	1
-54.9087529036	-25.6858298366	1
-39.8055362629	-18.2639240584	1
-54.6970556605	-26.0453898361	1
-43.4078804049	-22.5620306613	1
-55.7244428024	-26.4520200833	1
-58.4111152899	-19.9522349498	1
-54.4484718636	-24.7850486089	1
-44.6536756072	-22.354699965	1
-48.5055536013	-25.6204178124	1
-54.3058648793	-25.6674114238	1
-56.8153886198	-26.0704219653	1
-40.5459101795	-19.8891331429	1
-48.3291842537	-24.3327770635	1
-54.0932682979	-25.9445397228	1
-55.6337713773	-26.0943374883	1
-49.9657573226	-23.1860868908	1
-49.6606178663	-24.1740303453	1
-55.4059711862	-24.1350197041	1
-51.2520017817	-23.4506332942	1
-53.1420258195	-25.4377342371	1
